42 29 32 58 27 44 67 25 32 62 27 20 27 32 58 29 55 74 20 44 15
53 35 19 20 25 17 17 31 64 50 20 33 50 47 21 45 60 26 63 42 32
33 26 60 38 39 37 42 36 51 49 49 8 27 48 48 22 40 47 46 73 24
10 18 33 45 35 25 16 33 27 53 18 4 35 23 7 48 72 38 21 40 24
19 45 37 54 20 19 19 15 42 33 42 68 41 63 53 33 46 30 21 50 18
14 38 28 69 29 16 30 45 26 28 20 35 28 40 62 28 29 35 39 25 21
19 16 13 51 30 36 39 29 14 31 31 44 4 13 18 31 62 30 37 30 37
60 21 50 33 61 16 25 19 50 32 43 23 22 26 59 25 27 66 18 33 48
22 33 25 21 28 30 35 5 53 48 56 30 37 9 20 40 41 28 25 35 49
7 5 46 47 23 32 38 43 36 31 37 39 23 95 52 56 37 24 14 46 20
19 43 22 40 29 12 44 22 8 50 39 30 84 36 30 62 24 46 37 38 81
21 63 34 86 55 49 50 41 37 27 48 17 62 32 43 68 55 46 28 52 15
54 40 37 39 8 47 40 30 47 36 19 15 69 13 32 18 50 47 34 31 34
29 35 36 30 48 7 36 11 49 27 34 22 24 36 46 22 36 21 20 65 31
39 22 28 19 8 25 50 30 36 43 29 4 64 64 32 67 39 20 30 43 41
35 44 34 18 30 52 86 93 47 40 36 5 64 48 39 30 13 19 64 62 47
15 40 34 31 65 50 22 13 53 28 38 36 40 27 28 42 26 47 19 58 42
36 29 45 34 48 31 21 8 40 42 26 25 35 51 30 14 45 48 59 38 64
43 30 39 21 40 42 37 42 61 44 38 64 31 32 47 55 63 4 25 29 38
13 41 21 19 9 36 12 20 15 39 40 50 23 33 31 61 53 35 66 55 36
18 16 21 46 29 36 28 20 25 60 13 18 40 49 41 12 45 77 13 44 17
53 22 57 11 44 50 52 15 30 57 16 29 38 33 30 42 55 41 27 29 16
34 19 31 27 41 18 23 66 21 29 15 44 38 34 23 36 22 45 41 46 39
23 46 49 55 35 52 22 42 85 10 9 29 29 34 43 38 38 36 33 24 47
39 34 34 30 28 46 49 23 30 15 22 35 8 32 22 48 64 12 16 67 23
38 47 18 94 46 35 40 87 26 20 24 38 14 30 7 57 39 12 14 8 42
34 38 38 47 31 60 48 39 35 57 37 12 29 31 37 29 31 31 68 12 20
4 32 31 57 35 37 19 50 19 23 13 69 36 40 58 64 17 56 39 50 50
32 33 28 48 14 15 28 34 30 74 55 21 38 46 49 42 14 17 43 41 27
83 47 65 24 60 29 25 39 24 50 31 45 61 34 35 53 48 13 32 75 43
19 49 36 20 92 43 5 54 12 37 53 24 28 109 37 42 9 15 41 49 66
23 10 14 31 39 12 79 47 36 16 40 26 66 21 36 27 52 30 29 33 19
26 40 47 63 33 40 15 26 40 13 7 32 58 62 35 47 80 29 13 28 39
50 34 34 35 80 29 11 33 32 39 25 80 33 19 25 42 16 40 25 65 52
28 25 63 46 17 53 18 37 20 26 53 31 66 23 33 26 22 27 22 55 61
12 36 14 38 13 52 28 11 49 42 10 35 23 23 48 26 26 33 49 50 12
32 40 51 5 32 40 37 27 65 17 21 42 34 72 56 60 4 19 44 20 55
38 32 17 47 38 26 37 22 37 20 25 49 27 76 26 15 67 76 26 21 50
29 14 39 31 19 23 30 67 15 20 50 53 54 58 39 38 57 43 9 44 28
46 11 58 36 15 45 16 53 37 11 25 7 46 32 17 16 64 18 29 55 59
35 80 50 19 26 30 13 62 46 67 44 21 40 43 5 33 40 34 33 25 41
36 30 41 23 34 12 18 16 36 49 18 34 37 19 40 30 52 23 23 19 53
18 15 16 20 14 8 34 23 49 24 53 22 28 22 19 38 32 26 26 22 33
47 51 22 21 23 11 66 13 45 35 59 19 46 57 41 9 48 13 27 44 48
14 9 25 26 32 44 39 54 14 73 52 87 28 49 68 46 10 18 24 12 32
18 28 20 11 28 46 22 47 13 25 41 30 60 49 22 52 15 21 37 8 36
60 51 21 25 25 40 14 14 22 46 30 65 37 12 34 48 26 43 41 45 57
19 19 13 75 40 49 12 42 37 47 23 53 27 23 58 57 56 84 30 37 45
28 18 56 29 44 63 47 28 55 18 40 23 35 42 47 48 5 57 32 48 29
52 69 53 60 38 24 27 62 39 39 54 14 7 22 34 19 11 30 36 33 46
37 69 9 53 36 39 45 42 18 14 23 10 9 43 31 48 90 48 34 23 37
31 85 28 28 41 38 8 33 20 26 24 42 41 55 9 57 20 26 78 30 21
41 35 50 20 18 7 25 10 22 20 14 37 9 38 64 51 19 32 28 41 36
40 21 35 47 26 31 33 21 7 28 75 59 23 38 32 30 61 21 3 16 38
50 37 52 58 28 12 47 19 12 52 11 17 10 25 14 33 31 18 15 32 57
17 40 16 37 16 56 10 39 37 16 24 29 14 11 75 56 43 15 45 35 21
38 40 16 11 30 26 7 16 18 49 18 74 46 26 11 54 25 14 24 34 30
67 21 48 33 26 19 40 17 37 28 40 5 34 78 8 24 33 41 40 23 7
27 21 72 36 18 48 26 26 16 55 34 25 60 30 28 13 55 49 28 37 25
62 30 21 16 28 25 40 44 37 31 52 53 14 19 38 25 73 44 17 35 37
33 44 44 31 18 12 58 26 23 38 39 25 64 11 23 46 15 57 27 47 43
33 12 32 32 10 28 16 5 59 40 25 35 51 55 11 48 57 53 33 46 34
32 36 39 8 27 19 23 37 34 19 53 29 44 42 58 47 34 40 15 23 24
21 38 14 11 52 41 54 54 29 34 29 28 23 42 46 12 46 70 40 30 54
18 22 26 10 41 14 27 40 19 28 31 57 27 8 62 24 23 41 27 40 26
25 30 51 23 41 16 39 46 75 40 39 39 8 51 24 68 69 37 40 54 54
47 45 45 25 20 22 15 21 40 50 16 51 47 35 15 48 54 33 43 57 53
9 43 37 27 18 24 21 16 32 29 17 55 34 27 46 22 23 18 74 15 31
