5 7 9 21 22 48 6
4 7 10 16 36 42 7
6 8 8 8 12 37 46
7 6 8 14 14 27 58
5 5 15 18 23 25 48
7 3 11 29 23 6 25
7 7 15 12 26 42 55
7 11 11 14 24 53 26
6 11 8 18 33 46 3
3 9 19 24 7 30 20
5 9 10 15 37 40 50
5 7 22 12 43 28 15
5 5 10 16 16 65 17
7 6 5 27 10 69 36
5 7 12 21 32 42 13
4 12 14 10 16 49 57
6 13 11 17 35 18 56
5 10 14 21 16 42 51
4 9 21 20 11 38 19
3 10 12 7 26 38 41
5 9 5 22 18 21 35
5 11 5 5 40 22 53
5 7 8 13 7 16 19
5 5 5 10 21 38 24
4 7 12 15 19 31 34
6 10 14 21 19 33 15
4 11 15 10 11 9 33
3 12 7 14 4 28 11
3 6 7 14 20 25 27
4 8 9 19 14 28 60
5 6 17 12 21 13 30
7 8 12 13 43 19 37
4 9 11 27 22 23 19
6 6 9 6 3 40 77
7 10 7 19 13 36 45
7 7 17 12 22 16 36
6 11 15 17 18 22 30
8 4 6 19 28 42 47
7 11 9 5 6 40 36
3 6 9 12 13 28 52
7 11 17 11 42 50 54
4 5 18 24 16 44 72
6 9 19 17 22 26 33
5 11 11 16 24 33 67
8 5 8 32 17 11 33
5 6 12 20 27 32 61
6 10 10 7 12 33 55
5 9 10 14 12 8 62
7 7 6 21 27 15 80
6 8 9 10 31 19 36
6 12 10 31 13 15 72
7 5 12 28 15 51 29
6 14 7 12 16 38 75
4 9 10 11 14 43 10
6 10 6 11 12 67 20
7 8 11 12 22 5 18
5 11 6 20 32 22 66
5 7 7 8 4 28 54
6 5 9 13 34 36 22
4 6 11 24 7 46 50
8 8 9 20 22 52 34
4 8 11 13 31 27 63
7 5 8 22 55 35 69
5 7 19 5 35 33 65
4 8 13 13 15 6 81
8 6 20 16 27 23 9
3 9 7 31 23 17 40
5 10 11 24 24 22 26
8 9 17 16 8 22 62
8 5 3 18 18 15 42
7 9 11 10 35 47 16
6 12 8 13 44 20 23
5 8 10 9 32 60 52
6 3 4 9 30 54 69
7 5 17 17 17 9 20
5 10 13 8 29 21 44
3 5 11 11 25 37 51
6 5 23 11 29 38 22
5 7 5 19 17 26 95
3 13 14 9 22 34 51
7 6 6 13 15 18 39
3 6 8 13 10 23 43
7 12 11 22 52 8 34
8 12 4 24 27 24 38
7 10 23 13 23 41 51
6 3 15 17 10 32 11
6 13 6 27 17 52 68
5 6 9 10 4 37 16
5 11 6 3 35 29 18
6 4 8 13 19 18 20
3 7 7 20 19 28 25
5 11 15 5 6 52 71
7 15 10 10 21 16 30
7 10 14 14 28 11 31
8 5 8 18 21 22 32
4 8 3 13 40 19 62
3 7 5 18 5 21 76
4 6 15 15 27 59 36
3 11 7 12 16 40 58
8 13 8 9 35 31 42
5 3 19 12 21 86 40
4 8 13 9 12 25 50
6 5 9 27 12 42 22
3 9 9 12 14 21 43
6 4 16 5 15 38 51
3 12 4 18 11 14 91
5 9 10 25 26 22 35
8 12 6 31 40 31 68
4 5 16 15 19 32 32
5 8 22 25 30 34 12
6 9 6 11 19 16 8
6 7 12 16 18 40 58
5 13 11 20 19 21 39
3 10 8 14 36 50 18
8 5 16 16 6 18 52
7 6 7 15 28 37 22
4 4 17 12 14 34 24
7 3 8 16 21 10 18
3 5 12 19 22 30 11
7 11 6 22 16 39 28
8 12 9 30 5 26 32
8 8 19 26 31 32 28
7 5 12 13 26 57 57
7 11 13 16 30 21 69
5 5 17 19 20 21 73
4 3 7 6 46 20 23
4 9 4 29 21 53 27
3 10 14 20 22 19 32
7 10 4 12 44 56 47
4 10 19 8 19 35 39
6 5 20 17 16 28 62
3 8 7 11 18 25 57
6 6 17 19 18 11 23
5 3 8 14 33 26 58
3 6 3 8 18 4 62
5 4 9 23 45 43 46
6 6 11 11 46 9 28
3 10 16 16 34 17 42
5 9 11 19 13 50 7
7 10 13 19 38 31 44
4 8 12 13 20 28 76
8 3 17 8 14 22 43
4 6 3 10 15 12 39
5 10 8 12 18 33 61
5 12 15 23 21 28 9
4 6 6 23 12 25 35
5 3 6 20 8 57 41
4 12 16 10 22 46 71
5 4 13 23 29 43 20
3 7 9 15 15 37 60
5 10 10 24 31 26 60
7 3 11 12 21 57 28
4 6 4 22 23 17 55
6 3 8 3 29 22 55
6 8 7 4 16 59 65
5 3 8 20 23 45 12
4 7 8 11 33 13 69
5 13 5 9 12 39 43
5 6 5 3 40 31 20
3 5 11 8 11 25 26
7 3 19 15 21 46 10
5 5 6 12 31 28 31
5 4 11 27 21 66 33
6 11 13 10 20 62 24
6 10 11 19 33 20 48
5 11 7 20 28 12 13
4 6 7 24 13 14 39
7 6 3 8 43 23 96
4 9 12 11 14 58 20
3 7 12 16 12 22 32
3 8 5 16 18 28 45
6 6 12 30 17 16 37
7 7 15 24 9 34 18
5 8 17 21 41 25 37
5 12 15 5 28 25 42
3 5 15 22 12 5 54
3 8 15 16 17 20 58
5 5 13 23 17 32 6
7 4 8 7 17 18 56
3 7 7 9 12 30 29
6 9 9 11 40 24 10
4 5 16 18 17 13 73
8 8 11 22 22 28 36
6 3 12 20 18 16 43
6 6 12 9 3 45 58
6 4 13 13 21 12 17
4 6 6 29 16 26 37
5 3 7 16 7 30 35
3 6 16 10 31 28 23
3 9 20 10 13 54 49
5 7 5 23 16 34 18
7 6 9 20 31 16 54
6 6 8 18 36 17 23
7 15 13 12 30 38 45
4 11 8 20 8 23 50
