5 3 11 15 13 35 33
3 6 4 5 10 20 30
4 5 3 11 9 28 12
3 5 9 9 11 13 38
3 6 8 9 11 7 43
6 3 11 10 19 34 26
2 4 12 10 21 12 5
2 3 6 5 15 23 20
4 9 12 2 20 14 33
4 4 7 14 28 20 52
4 7 5 8 7 6 41
2 2 3 16 14 18 42
6 2 9 5 8 15 16
3 11 13 24 14 28 25
6 8 7 8 10 24 28
5 7 5 9 21 14 7
4 9 5 16 20 2 20
2 5 10 5 3 17 43
3 8 12 5 18 28 27
3 8 6 2 9 13 53
5 7 4 16 9 37 13
3 3 12 11 11 7 30
2 3 3 8 7 24 38
2 10 6 9 13 32 17
2 4 2 10 8 23 48
5 6 3 7 11 10 37
5 5 6 2 13 13 26
3 4 6 6 7 3 47
3 4 4 7 12 19 50
5 6 5 20 14 9 19
4 5 8 8 11 25 18
4 9 6 8 19 21 12
3 9 6 16 28 21 16
5 4 10 18 12 32 18
2 7 8 9 21 22 13
2 4 5 7 16 20 49
2 3 7 13 19 9 31
7 4 5 6 10 10 31
4 5 10 8 10 17 18
3 3 9 8 28 19 39
2 4 4 9 20 44 33
3 8 10 3 12 31 40
4 5 12 14 5 24 20
3 5 7 10 8 9 35
3 6 10 8 25 13 56
4 5 7 22 23 42 34
3 3 3 7 19 3 27
5 4 10 15 19 9 52
3 5 13 6 12 12 33
6 6 3 19 23 18 26
4 8 10 4 11 9 43
2 5 4 13 17 19 12
6 8 13 8 11 28 17
5 10 4 6 11 11 38
3 7 10 5 10 9 52
6 6 12 2 5 30 20
3 4 10 11 2 7 12
5 6 8 5 22 31 49
4 5 12 14 15 8 24
4 2 12 22 27 14 39
3 10 3 8 18 26 45
4 2 6 14 25 22 13
4 5 4 5 15 17 13
2 2 5 15 7 16 12
3 6 3 4 16 27 33
4 4 8 24 15 15 26
2 6 8 3 15 28 13
3 7 12 11 17 30 27
2 4 2 10 21 22 5
6 3 16 14 23 14 24
2 8 10 5 17 11 6
2 6 11 5 19 15 27
4 4 7 24 14 38 45
2 4 3 2 19 14 26
2 4 3 2 18 17 18
3 5 9 7 19 14 52
5 5 5 9 19 33 17
4 7 8 10 16 8 31
2 3 7 24 8 24 31
3 4 6 11 14 23 11
5 4 3 9 5 20 25
4 5 11 6 6 16 23
2 4 7 5 15 13 37
5 8 14 6 18 18 28
4 3 9 13 5 25 16
5 6 4 11 17 13 19
3 2 8 11 10 11 32
6 6 6 13 7 24 16
7 6 4 13 24 14 25
7 3 4 10 4 15 25
4 7 9 15 9 22 41
5 3 5 4 14 32 25
5 4 3 15 19 17 26
5 2 7 12 6 21 48
4 5 5 14 8 25 37
5 7 10 16 9 18 20
4 3 7 9 12 27 32
4 5 7 2 14 21 13
2 4 15 7 22 4 18
3 2 7 8 15 29 27
7 8 15 5 9 13 17
5 5 4 15 12 21 19
5 6 3 17 24 18 28
3 8 9 15 11 6 11
6 4 13 13 22 26 30
2 3 12 16 9 11 54
5 7 7 5 10 17 26
4 4 4 15 14 18 36
6 9 12 5 19 23 55
4 3 8 10 24 24 53
4 3 4 8 10 4 52
4 5 7 8 12 8 39
5 6 10 6 14 13 18
2 8 8 4 15 8 31
4 4 8 16 17 18 15
5 8 6 6 21 16 10
4 4 8 5 9 28 21
6 8 8 9 18 15 18
4 3 11 14 21 22 39
5 5 10 13 20 17 47
5 3 14 12 4 31 10
3 2 11 6 5 15 10
5 7 8 7 6 19 34
4 4 9 10 21 4 39
4 8 9 20 21 8 37
3 7 6 6 13 5 32
6 2 10 4 16 19 36
7 7 5 8 12 49 44
4 6 12 18 7 21 33
5 4 12 12 16 31 21
2 2 5 4 10 18 43
3 3 6 4 14 6 23
6 5 8 7 2 10 41
4 7 13 10 17 35 22
6 2 7 3 12 9 42
4 7 11 4 12 11 26
4 3 8 10 22 15 7
4 6 2 7 11 15 8
3 6 6 5 13 13 31
5 4 8 5 12 22 19
5 7 10 24 12 23 9
4 3 7 10 20 23 40
5 6 10 8 16 12 16
6 8 8 13 25 16 29
2 7 8 3 24 36 45
4 7 2 6 20 15 3
3 6 8 3 20 18 27
2 6 8 21 11 10 27
2 6 6 8 19 17 15
3 9 9 9 14 10 23
4 3 7 7 14 5 46
5 4 8 14 24 30 36
4 7 7 5 8 30 48
3 4 7 13 25 7 45
3 6 11 7 6 16 6
3 4 4 13 8 22 27
2 4 8 5 13 20 25
3 5 12 11 20 4 8
4 4 8 13 13 14 8
5 6 8 7 12 31 55
6 5 7 10 22 6 32
3 3 3 7 16 22 15
5 4 10 9 11 11 19
7 8 7 11 8 19 28
2 2 6 3 16 24 32
2 3 5 9 18 21 8
4 7 4 8 5 11 30
3 7 8 11 22 30 9
4 6 4 4 21 30 24
7 9 5 13 12 20 26
2 8 5 10 10 15 29
3 8 5 10 8 34 8
4 8 4 14 16 11 20
5 8 7 5 26 15 24
3 3 9 10 2 15 15
4 14 3 16 25 7 33
5 9 6 14 15 29 18
2 5 8 8 10 17 15
5 4 7 10 15 26 7
2 5 2 17 7 14 23
6 3 9 3 17 10 20
7 4 4 3 13 33 46
4 4 11 12 19 13 19
3 2 3 9 9 22 30
7 5 7 13 17 44 43
4 6 7 13 12 17 7
4 9 9 5 8 18 29
4 4 3 6 12 4 39
2 7 11 15 6 29 32
3 4 12 5 15 24 47
5 9 9 2 14 11 12
4 8 7 10 8 7 28
4 5 7 10 20 16 29
5 7 8 16 4 25 4
5 4 6 7 33 20 19
5 9 5 6 8 21 33
3 6 7 11 23 19 15
2 8 11 7 10 23 16
4 10 8 9 23 32 31
4 4 7 15 12 14 27
4 5 10 14 8 7 21
6 2 12 14 20 26 17
6 7 5 11 10 13 62
4 4 16 13 3 12 31
5 2 12 13 16 13 42
5 2 7 6 16 2 33
4 4 5 8 10 30 4
4 9 4 4 16 25 48
3 11 6 6 8 12 30
2 7 7 13 18 21 36
5 3 9 4 23 22 36
5 3 17 7 18 9 29
3 2 4 15 13 9 10
4 9 4 12 9 27 25
3 2 6 12 12 19 42
8 2 7 6 16 31 16
5 5 11 7 13 27 30
3 9 8 7 28 7 47
6 2 8 3 22 39 10
2 4 10 3 6 16 17
3 2 9 10 14 38 31
2 5 5 15 11 20 34
3 2 5 8 14 38 39
2 5 2 14 2 29 20
5 4 11 14 21 16 47
3 10 7 12 5 8 19
5 7 4 17 14 37 53
3 3 3 10 5 27 43
6 6 4 19 8 20 49
3 6 11 15 10 11 32
3 3 4 15 17 17 16
2 7 5 9 4 20 16
6 3 8 9 9 16 55
3 11 3 3 6 16 17
5 2 4 4 8 21 29
4 4 8 7 14 32 31
7 3 3 13 6 34 21
2 5 8 7 21 39 3
6 5 5 2 17 42 18
3 8 5 7 4 16 13
4 5 5 15 6 18 19
5 6 5 3 32 14 41
3 7 9 7 4 13 13
2 3 3 15 3 27 28
5 11 10 11 17 8 8
3 6 6 17 10 19 33
5 8 4 15 12 20 27
5 6 3 16 2 18 29
5 3 7 7 12 22 22
4 4 6 19 8 12 14
4 2 9 21 16 7 32
2 5 4 3 7 9 38
2 9 9 12 15 28 44
3 7 4 12 12 12 40
5 4 3 11 17 14 14
5 5 3 9 11 21 39
5 7 8 11 10 10 23
4 4 5 10 22 24 7
5 7 8 13 31 30 41
2 4 9 11 23 15 23
2 2 2 4 30 23 40
7 4 13 11 17 14 44
4 6 11 17 8 8 5
3 7 7 10 6 26 56
5 8 8 11 12 39 15
4 6 2 7 12 8 32
3 7 7 13 7 35 55
3 2 3 12 5 28 35
4 4 7 16 7 45 36
5 2 12 9 6 8 11
7 4 5 6 11 25 46
6 5 5 5 16 22 17
4 5 15 6 28 29 30
5 4 13 6 20 12 37
2 4 12 10 25 36 19
3 2 7 16 5 15 10
4 5 12 11 6 3 22
5 5 6 16 23 4 38
2 3 3 4 11 5 37
3 4 8 10 6 8 28
5 12 8 6 21 18 19
3 10 3 7 11 17 17
3 9 6 9 15 11 29
2 7 6 9 3 19 34
4 5 5 5 5 9 43
3 7 13 6 14 25 50
2 2 6 3 5 22 55
3 6 6 9 11 15 20
3 10 5 12 13 32 13
4 5 13 15 22 30 29
2 5 5 6 11 48 23
4 7 4 4 11 14 42
4 2 6 13 8 16 39
3 4 5 8 7 15 20
3 2 8 13 15 23 35
6 6 2 7 9 24 16
3 3 6 2 8 21 20
6 6 6 18 15 19 12
3 5 5 3 4 23 29
2 6 6 13 4 18 23
4 4 6 11 18 45 6
4 4 5 6 15 28 13
2 3 11 11 9 14 23
7 5 16 7 21 23 17
5 2 14 15 9 8 44
5 6 12 6 11 9 12
5 2 11 4 27 26 51
3 6 12 16 16 38 17
5 7 7 5 22 16 17
4 6 8 11 16 16 28
3 5 5 3 11 6 7
3 2 8 7 15 19 39
5 2 5 15 27 22 10
3 6 3 8 17 19 10
3 5 9 8 15 7 28
3 3 7 3 7 15 17
3 6 7 8 15 27 35
5 7 11 9 23 6 24
4 8 12 9 5 13 31
2 3 11 11 14 45 7
3 7 6 10 10 4 44
2 5 7 3 11 28 35
3 7 6 10 25 25 15
3 7 4 9 23 16 35
4 8 4 11 11 10 17
4 6 2 7 5 7 37
3 4 7 15 13 20 33
3 2 7 14 3 12 49
2 3 9 11 17 15 36
3 5 4 15 6 23 33
2 3 9 4 13 21 20
4 5 12 5 9 6 18
6 2 9 15 14 26 31
6 4 12 10 15 9 12
6 12 8 11 9 16 13
7 3 6 10 8 25 31
2 5 13 21 8 19 22
2 2 4 5 28 23 36
3 4 7 13 5 23 30
4 4 4 10 8 19 11
3 4 7 11 12 36 36
5 2 9 12 12 18 54
2 8 12 14 17 34 50
5 5 8 7 21 4 28
4 3 8 9 16 5 14
8 4 6 6 12 29 54
4 2 9 15 17 13 31
4 8 6 7 14 13 20
4 4 8 13 32 4 27
4 8 7 16 17 12 42
4 9 4 19 16 32 16
5 11 6 9 5 24 9
3 7 7 14 20 29 16
3 6 4 14 15 25 22
4 4 10 8 12 37 22
4 4 7 13 8 39 23
2 6 5 9 31 32 25
2 7 2 13 15 5 7
4 4 8 14 8 15 23
5 7 2 3 6 10 48
4 8 6 17 10 26 32
4 5 8 8 8 26 33
4 2 10 11 22 30 29
4 6 11 5 13 12 15
5 3 6 5 8 15 44
4 5 15 11 7 26 9
4 5 9 5 12 42 26
6 3 7 11 10 13 19
3 4 2 10 7 8 17
2 9 7 7 12 4 36
5 4 4 16 22 10 16
4 5 6 12 10 13 38
5 2 6 12 29 5 15
4 7 4 8 16 38 33
3 3 8 11 15 12 26
6 8 3 14 9 31 22
4 6 8 13 20 15 32
3 7 8 5 11 36 26
3 3 12 4 20 18 29
4 3 5 2 13 10 49
6 2 5 6 13 37 18
6 5 4 9 14 18 9
3 4 7 6 24 19 26
6 5 8 3 18 30 15
7 9 5 8 8 6 18
4 3 5 10 9 24 23
2 9 7 8 7 23 22
3 7 8 6 8 5 34
2 7 2 4 17 9 15
5 3 8 6 24 23 15
2 3 12 11 12 16 20
4 5 5 17 10 28 37
3 5 7 9 19 13 70
3 6 4 11 28 21 24
6 6 3 9 17 8 7
4 7 14 8 12 6 42
3 4 7 10 17 8 23
2 4 11 12 27 7 28
2 9 10 4 7 19 18
2 4 2 4 10 29 37
6 10 6 6 23 13 31
4 9 11 16 19 10 9
3 6 9 9 17 17 34
4 3 8 2 7 7 32
4 5 6 6 10 12 23
3 5 8 14 9 18 42
4 5 9 10 6 25 33
2 6 10 17 7 4 22
3 4 4 5 18 6 41
6 6 3 13 22 16 15
5 3 6 19 12 19 17
4 2 13 21 14 14 20
5 2 7 6 16 23 60
7 6 4 12 8 30 37
6 6 13 4 14 23 11
2 8 7 11 10 44 19
2 6 15 4 20 18 32
2 4 13 10 18 17 43
3 3 9 4 20 14 26
