7 5 12 18 15 20 27
6 3 10 12 29 21 23
3 9 9 17 12 33 37
6 7 15 9 21 15 74
6 9 8 24 11 55 61
4 11 12 16 14 34 41
5 5 9 20 14 37 65
4 3 12 13 30 30 12
7 7 16 8 9 46 18
7 12 15 4 13 45 30
4 8 9 12 7 29 7
5 11 13 15 22 32 29
5 13 11 14 27 11 62
6 10 11 18 26 14 21
7 6 10 10 25 15 39
5 11 12 10 27 22 43
6 4 18 8 14 39 26
5 4 17 9 20 16 40
7 12 10 14 29 20 31
4 5 8 16 23 4 43
5 6 11 16 19 42 40
5 12 18 15 15 25 55
7 6 8 18 12 36 34
8 10 4 10 14 32 26
6 11 8 13 8 19 18
7 4 8 16 17 31 32
6 11 13 22 31 39 21
6 9 14 21 28 31 31
4 7 12 5 13 23 45
7 7 7 11 19 15 71
8 14 6 24 32 41 29
7 8 12 15 11 17 66
8 11 5 6 28 21 19
4 6 10 12 28 29 26
5 7 15 21 18 36 58
7 5 6 10 25 19 19
4 9 8 22 32 24 19
7 6 18 32 19 21 43
4 9 4 11 34 20 15
6 7 11 14 13 37 65
5 9 9 8 20 34 39
4 8 8 21 22 34 34
6 7 10 11 11 22 33
5 7 9 19 21 26 23
8 7 9 14 28 4 20
6 9 8 22 16 26 27
6 12 15 5 16 24 26
7 8 8 16 13 22 25
4 12 16 24 39 17 67
5 6 5 9 8 8 43
8 6 13 28 31 48 46
6 10 18 13 21 14 19
4 5 9 10 15 4 19
4 11 15 27 14 37 56
4 3 8 8 14 28 30
8 5 17 24 15 8 53
7 7 7 12 28 17 21
6 14 5 24 34 21 12
7 12 10 9 13 29 69
7 9 9 10 23 21 56
5 9 16 26 4 13 36
8 12 9 20 26 59 11
4 12 6 6 9 33 17
8 4 12 19 27 6 29
3 5 8 8 36 18 51
7 13 5 14 39 16 29
8 6 10 21 15 44 18
4 6 9 6 17 25 41
6 10 8 5 16 17 79
6 3 15 31 4 8 10
5 7 4 22 18 21 27
5 10 12 15 9 11 9
