4 4 11 5 16 36 23
4 8 10 9 12 11 27
3 11 8 17 17 37 17
4 9 11 10 12 21 19
7 5 9 9 17 9 61
3 5 4 12 24 16 25
4 6 12 19 22 20 21
7 6 5 7 6 15 43
5 5 11 3 20 20 37
5 5 5 10 17 28 5
6 5 10 8 13 10 22
7 5 13 7 26 14 51
4 3 6 6 19 13 9
6 8 6 11 9 14 28
4 6 5 20 10 18 14
5 5 11 7 12 11 44
5 9 7 10 12 25 26
6 8 8 15 22 23 52
6 5 7 17 12 17 52
5 6 13 7 14 16 32
4 9 15 3 20 42 33
6 4 4 6 18 8 32
6 8 14 6 4 18 27
6 4 9 9 3 6 35
3 7 14 10 9 15 60
5 4 11 10 9 29 19
5 3 11 10 25 21 40
5 8 11 12 24 25 74
6 5 12 6 32 30 18
6 5 12 7 15 11 17
5 7 7 11 14 18 43
6 9 5 16 16 34 59
4 4 4 7 17 38 8
4 6 13 4 12 13 39
3 4 9 10 7 27 40
4 10 8 13 19 11 16
4 5 5 12 30 32 25
5 3 5 16 17 17 38
7 9 6 22 13 11 24
5 11 7 11 39 20 41
6 8 10 11 30 19 19
5 7 5 6 13 38 10
6 6 4 9 25 38 35
4 10 7 12 8 15 23
4 4 4 11 15 29 31
6 5 9 9 3 12 7
4 8 12 4 13 19 53
6 7 6 10 17 29 49
7 7 9 6 4 26 17
5 8 4 7 16 8 29
4 11 7 3 12 8 24
3 4 10 12 6 20 18
6 6 10 12 17 15 39
7 6 7 6 18 16 44
6 7 3 4 18 16 43
3 5 6 10 25 17 39
4 9 9 9 22 19 38
5 11 11 20 27 15 32
5 5 8 15 17 16 14
4 3 5 5 29 23 42
5 5 10 12 11 36 17
5 7 11 6 12 15 24
6 7 9 8 9 28 66
7 4 5 12 25 16 22
4 4 6 10 10 20 53
4 6 5 10 35 15 15
5 3 10 15 23 18 18
6 7 7 12 22 30 19
5 6 4 15 14 41 16
4 8 10 15 15 26 33
3 6 5 10 26 31 20
5 8 8 14 19 22 34
5 8 3 13 17 20 49
5 7 7 18 28 30 37
6 4 6 9 7 6 17
4 5 4 16 7 15 28
5 8 3 14 29 7 38
4 5 12 7 18 12 25
5 4 5 11 18 16 50
5 7 10 13 18 28 23
4 6 11 10 11 32 66
3 9 9 8 11 11 43
5 6 16 10 10 24 10
5 5 8 6 14 27 55
4 7 5 7 12 33 69
5 5 7 6 12 29 14
5 7 10 17 24 26 26
4 4 6 16 19 11 29
4 4 14 14 20 9 14
4 6 11 7 22 14 20
4 4 15 4 18 10 20
5 7 13 10 7 14 25
4 5 11 10 22 23 24
5 7 7 13 8 17 33
6 8 5 17 11 19 21
3 6 9 14 11 34 19
7 6 8 9 20 11 80
5 11 11 3 8 25 34
4 5 4 18 15 19 35
7 9 10 14 27 33 19
7 7 11 18 19 16 9
3 7 7 8 7 6 9
6 7 13 10 10 9 27
5 4 8 8 15 21 24
5 8 8 8 19 16 19
4 7 5 5 17 25 26
3 3 7 13 28 22 25
4 7 9 16 24 25 29
7 8 10 6 12 23 45
5 9 10 8 13 19 20
6 9 12 7 15 24 8
4 7 8 16 7 20 32
3 7 10 20 19 27 24
7 5 7 13 30 21 15
4 5 4 15 27 27 35
4 9 14 6 20 9 50
6 5 7 8 6 18 27
4 8 9 9 19 27 36
6 8 13 8 23 24 30
5 7 10 9 17 48 18
6 4 8 16 18 13 29
5 3 10 9 14 19 37
6 3 8 11 29 27 12
5 5 13 9 6 16 31
6 8 8 6 22 19 51
5 6 3 19 28 25 31
7 4 10 8 13 23 19
4 5 5 5 14 26 33
4 6 8 10 16 15 16
3 4 4 8 17 37 14
5 7 7 13 17 30 30
3 9 15 12 22 34 83
5 3 11 27 9 28 24
5 7 12 12 5 20 63
5 9 6 21 5 20 35
7 5 9 3 23 14 16
5 5 10 16 11 31 53
4 8 11 7 16 14 26
4 7 7 12 9 26 10
4 7 7 8 17 25 12
6 9 8 14 41 29 20
6 8 8 7 26 36 35
4 6 7 7 8 25 31
4 4 7 8 13 29 43
