4 6 8 15 30 32 41
3 8 9 24 18 32 23
4 7 13 14 28 31 35
5 8 19 9 16 47 17
6 5 9 14 21 63 43
3 7 5 9 17 15 53
6 10 8 8 8 21 22
5 9 12 18 12 13 44
7 9 10 23 5 14 66
4 7 5 4 17 8 36
4 10 8 14 10 29 13
3 6 12 14 35 49 35
6 6 11 8 14 24 69
4 3 4 20 29 20 17
4 5 7 15 19 57 18
8 7 5 16 31 24 43
7 10 8 24 12 34 35
5 7 11 25 23 31 34
5 6 11 9 22 5 43
3 5 7 14 10 45 57
6 5 16 26 29 21 59
7 7 14 15 25 28 43
6 4 12 11 17 18 35
7 7 18 19 23 33 25
5 12 16 19 13 17 19
5 9 7 27 3 35 67
7 7 17 16 6 11 27
5 6 4 10 18 25 41
8 8 4 11 31 32 39
5 5 10 16 35 21 22
5 8 7 17 13 52 18
5 8 10 9 16 29 41
7 6 7 15 21 35 43
3 8 17 8 23 27 60
5 7 11 16 6 13 38
6 9 6 19 8 30 60
8 12 12 30 22 53 16
4 7 7 16 24 31 28
3 7 9 16 23 54 43
6 11 8 6 23 26 17
5 7 9 17 9 29 21
3 4 16 23 17 30 45
6 7 11 14 17 33 31
7 15 11 15 22 45 44
6 8 14 14 28 21 25
6 5 9 6 8 27 44
5 5 8 8 31 26 37
7 4 10 6 17 27 63
6 5 13 8 12 24 21
4 6 20 23 17 25 36
6 4 14 16 6 9 44
7 7 19 8 18 39 64
5 8 11 20 11 24 73
7 5 10 19 15 16 11
8 5 9 15 12 25 60
7 8 17 15 20 34 36
3 11 9 4 28 18 34
5 6 14 13 26 53 33
5 8 17 4 34 17 37
7 3 6 14 13 35 19
6 5 9 19 24 20 19
4 7 13 20 16 32 16
5 5 11 16 30 31 52
6 6 17 5 19 14 5
4 5 12 18 19 32 51
7 7 16 5 15 40 31
7 6 8 17 20 43 10
4 7 17 18 22 30 35
6 8 13 18 20 23 29
5 12 15 11 22 56 90
6 10 7 21 7 19 32
4 4 11 30 11 26 20
7 9 12 14 7 32 16
5 6 3 16 14 10 23
5 3 13 24 11 27 20
4 4 9 10 12 8 50
7 11 9 7 37 17 71
5 8 7 5 30 18 53
5 5 20 9 20 25 47
5 8 7 27 16 26 29
6 5 11 18 10 51 34
4 10 6 8 25 18 41
3 6 10 22 13 34 40
4 6 7 18 19 26 39
7 5 14 6 36 11 46
5 8 13 6 10 27 45
3 7 7 5 23 34 39
6 8 21 21 7 27 64
6 11 5 16 20 13 57
